# a	b	kn_cost  (trigram-backed, kappa=1000.0, d=0.75)
BOS	おっぱい	13171
BOS	おつり	10606
BOS	おとうさん	13170
BOS	おととい	10607
BOS	おとなしく	11562
BOS	おなか	13169
BOS	おなじ	13171
BOS	おね	13171
BOS	おのおの	13171
BOS	おば	9953
BOS	おばあさん	10974
BOS	おびただしい	13171
BOS	おふ	11562
BOS	おまえ	8881
BOS	おまけ	11562
BOS	おまわり	13171
BOS	おめー	13171
BOS	おもい出し	13171
BOS	おもしろい	11560
BOS	おもしろけれ	11562
BOS	おもしろみ	13171
BOS	おもちゃ	11561
BOS	おや	11562
BOS	おやすみ	10974
BOS	おやすみなさい	11562
BOS	およそ	13170
BOS	おり	11561
BOS	おりもの	13171
BOS	おれ	10338
BOS	おわり	13171
BOS	おんがく	13171
BOS	お世話	9804
BOS	お世辞	11562
BOS	お伝	13167
BOS	お伴	13171
BOS	お兄さん	13169
BOS	お前	8168
BOS	お勧め	13169
BOS	お国	10974
BOS	お姉さん	10127
BOS	お嬢さん	10974
BOS	お嬢様	13171
BOS	お子さん	9953
BOS	お宅	9675
BOS	お守り	13171
BOS	お客	13167
BOS	お客さん	10338
BOS	お客様	9953
BOS	お家	13171
BOS	お尻	11562
BOS	お巡り	11562
BOS	お巡りさん	13171
BOS	お店	9952
BOS	お手伝いさん	13171
BOS	お手洗い	10338
BOS	お持ち帰り	13171
BOS	お時	9458
BOS	お母さん	7773
BOS	お父さま	11562
BOS	お父さん	7413
BOS	お父様	11562
BOS	お知らせ	13165
BOS	お礼	9675
BOS	お米	10974
BOS	お腹	9458
BOS	お花	9953
BOS	お茶	7533
BOS	お菓子	10974
BOS	お見舞い	11562
BOS	お辞儀	11562
BOS	お迎え	13169
BOS	お邪魔	10974
BOS	お金	6547
BOS	お釣り	10974
BOS	お静	11562
BOS	お願い	8828
BOS	かいつまん	13171
BOS	かえで	13171
BOS	かかっ	13159
BOS	かかりつけ	13171
BOS	かかわっ	11562
BOS	かかわら	13169
BOS	かくし	13171
BOS	かくて	13171
BOS	かけ	13157
BOS	かける	13170
BOS	かけ引き	11562
BOS	かさ	13168
BOS	かぜ	9953
BOS	かっこいい	11562
BOS	かっと	11562
BOS	かつて	9560
BOS	かなり	8409
BOS	かねがね	11562
BOS	かの	13155
BOS	かのじょ	10974
BOS	かばん	10606
BOS	かべ	11562
BOS	かみさん	13171
BOS	かみ合わせ	11562
BOS	かもめ	13171
BOS	からかわ	11562
BOS	かり	11560
BOS	かれ	10338
BOS	かれは	10974
BOS	かろうじて	11562
BOS	かわい	13171
BOS	かわいそう	9365
BOS	かわり	11562
BOS	かわるがわる	13171
BOS	かんかん	11562
BOS	がいし	13171
BOS	がっかり	10606
BOS	がまん	13169
BOS	がん	13170
BOS	きく	13168
BOS	きた	10606
BOS	きたい	13167
BOS	きちんと	8937
BOS	きっと	7400
BOS	きつい	11562
BOS	きつつき	13171
BOS	きつね	13171
BOS	きのう	8597
BOS	きみ	8141
BOS	きめ	13168
BOS	きょう	9280
BOS	きょうこ	13171
BOS	きれい	9457
BOS	きわどい	13171
BOS	ぎざぎざ	13171
BOS	ぎっくり腰	13171
BOS	ぎゃあぎゃあ	13171
BOS	ぎょっと	13170
BOS	くじ	13171
BOS	くすくす	11562
BOS	くすぶっ	13171
BOS	くず	13170
BOS	くそ	13167
BOS	くそっ	13171
BOS	くたくた	13171
BOS	くだら	13171
BOS	くつろい	13170
BOS	くどくど	13171
BOS	くらい	13144
BOS	くる	11560
BOS	くれぐれ	13171
BOS	ぐあい	13171
BOS	ぐい	13170
BOS	ぐず	13171
BOS	ぐずぐず	10974
BOS	ぐっすり	9804
BOS	けいこ	11562
BOS	けい子	11562
BOS	けが人	10607
BOS	けさ	9280
BOS	けっ	11562
BOS	けっきょく	10607
BOS	けっして	11562
BOS	けった	13171
BOS	けばけばしい	13171
BOS	けんか	10606
BOS	げっぷ	13171
BOS	こいつ	10974
BOS	こう	7995
BOS	こうし	9458
BOS	こうする	13171
BOS	こうもり	13171
BOS	ここ	5363
BOS	ここな	13171
BOS	こしょう	11562
BOS	こじ	13171
BOS	こじんまり	13171
BOS	こせこせ	13171
BOS	こちら	7848
BOS	こっち	10127
BOS	こつ	13170
BOS	こと	10114
BOS	ことに	10963
BOS	ことわざ	11562
BOS	この	3408
BOS	このか	10974
BOS	このかた	13171
BOS	このこ	8281
BOS	このごろ	9675
BOS	このは	10607
BOS	このま	10974
BOS	このみ	13171
BOS	このも	13171
BOS	この世	8195
BOS	この先	10127
BOS	この方	8828
BOS	この間	9365
BOS	この頃	9953
BOS	こむらがえり	13171
BOS	これ	4473
BOS	これよ	9804
BOS	こわい	13171
BOS	こわく	13171
BOS	こんど	11562
BOS	こんな	6828
BOS	こんにちは	9365
BOS	こんもり	13171
BOS	こー	13171
BOS	ご	6471
BOS	ごい	13167
BOS	ごく	11561
BOS	ごちそう	13169
BOS	ごみ	10974
BOS	ごめん	9061
BOS	ご不幸	13171
BOS	ご存じ	13169
BOS	ご存知	11562
BOS	ご承知	11562
BOS	ご機嫌	11562
BOS	ご無沙汰	10338
BOS	ご用	10974
BOS	ご老人	13171
BOS	ご自分	10974
BOS	ご自宅	13171
BOS	ご苦労	13171
BOS	ご覧	13169
BOS	ご請求	13171
BOS	ご都合	10127
BOS	ご飯	11562
BOS	さぁ	10974
BOS	さあ	7687
BOS	さあさあ	13171
BOS	さい	13162
BOS	さえぎら	13170
BOS	さくら	13171
BOS	ささい	13170
BOS	ささやか	13170
BOS	さしあたっ	11562
BOS	さしあたり	10607
BOS	さしつかえ	13171
BOS	さすが	10606
BOS	さぞ	11562
BOS	さっ	13168
BOS	さっき	13170
BOS	さっさと	10127
BOS	さて	8937
BOS	さびつか	13171
BOS	さまざま	11561
BOS	さみし	13171
BOS	さも	13168
BOS	さようなら	9953
BOS	さよなら	13170
BOS	さら	13170
BOS	さらに	8480
BOS	さんざん	11562
BOS	ざあざあ	11562
BOS	ざあっ	11562
BOS	しかし	7082
BOS	しかた	13170
BOS	しかと	13171
BOS	しかも	13168
BOS	しかる	13170
BOS	した	11476
BOS	しっかり	10127
BOS	しっぽ	13171
BOS	しな	10962
BOS	しばし	13171
BOS	しばしば	10606
BOS	しばらく	7478
BOS	しびれ	13171
BOS	しまっ	11561
BOS	しゃっくり	13171
BOS	しゃべる	13169
BOS	しょっちゅう	11562
BOS	しーっ	11562
BOS	じき	9804
BOS	じっくり	13170
BOS	じつ	13169
BOS	じゃ	9803
BOS	じゃあ	9804
BOS	じゃま	10338
BOS	じゃー	13171
BOS	じゅうたん	11562
BOS	じろじろ	13171
BOS	じんま	13171
BOS	すい	9804
BOS	すき	11562
BOS	すき焼き	11562
BOS	すぐ	6104
BOS	すぐれ	13168
BOS	すこし	11562
BOS	すごい	9560
BOS	すごかっ	13171
BOS	すごく	9061
BOS	すさん	13171
BOS	すし	13171
BOS	すずめ	13171
BOS	すっかり	9952
BOS	すてき	13168
